file_id,relative_path,stem_title,inferred_year,inferred_level,inferred_doc_family,size_bytes,page_count,char_count,extraction_ok
01,预调研/政策文件/01_大气污染防治行动计划_2013_国务院.pdf,大气污染防治行动计划_2013_国务院,2013,central,policy_document,409895,11,10079,1
02,预调研/政策文件/02_水污染防治行动计划_2015_国务院.pdf,水污染防治行动计划_2015_国务院,2015,central,policy_document,530041,17,16334,1
03,预调研/政策文件/03_土壤污染防治行动计划_2016_国务院.pdf,土壤污染防治行动计划_2016_国务院,2016,central,policy_document,684312,17,13886,1
04,预调研/政策文件/04_环境保护税法_2016.pdf,环境保护税法_2016,2016,central,law,1635959,16,3706,1
05,预调研/政策文件/05_碳排放权交易管理办法_2021_生态环境部.pdf,碳排放权交易管理办法_2021_生态环境部,2021,central,administrative_rule,199699,11,5310,1
06,预调研/政策文件/06_环境保护法_2014修订.pdf,环境保护法_2014修订,2014,central,law,308127,10,10299,1
07,预调研/政策文件/07_绿色低碳循环发展经济体系指导意见_2021_国务院.pdf,绿色低碳循环发展经济体系指导意见_2021_国务院,2021,central,policy_document,390986,11,6381,1
08,预调研/政策文件/08_排污许可管理条例_2021_国务院.pdf,排污许可管理条例_2021_国务院,2021,central,regulation,700049,19,8471,1
09,预调研/政策文件/09_企业环境信息依法披露管理办法_2021_生态环境部.pdf,企业环境信息依法披露管理办法_2021_生态环境部,2021,central,administrative_rule,318918,9,4352,1
10,预调研/政策文件/10_北京市大气污染防治条例_2014.pdf,北京市大气污染防治条例_2014,2014,local,regulation,672142,11,14421,1
11,预调研/政策文件/11_中华人民共和国水污染防治法_2017修正.pdf,中华人民共和国水污染防治法_2017修正,2017,central,law,578525,36,29765,1
12,预调研/政策文件/12_中华人民共和国大气污染防治法_2018修正.pdf,中华人民共和国大气污染防治法_2018修正,2018,central,law,605712,41,33400,1
13,预调研/政策文件/13_中华人民共和国固体废物污染环境防治法_2020修订.pdf,中华人民共和国固体废物污染环境防治法_2020修订,2020,central,law,598775,42,33956,1
14,预调研/政策文件/14_中华人民共和国环境噪声污染防治法_2018修正.pdf,中华人民共和国环境噪声污染防治法_2018修正,2018,central,law,372575,19,14824,1
15,预调研/政策文件/15_中华人民共和国土壤污染防治法_2018公布.pdf,中华人民共和国土壤污染防治法_2018公布,2018,central,law,446484,31,23941,1
16,预调研/政策文件/16_中华人民共和国海洋环境保护法_2023修订.pdf,中华人民共和国海洋环境保护法_2023修订,2023,central,law,551584,40,31839,1
17,预调研/政策文件/17_中华人民共和国长江保护法_2020公布.pdf,中华人民共和国长江保护法_2020公布,2020,central,law,436148,29,22999,1
18,预调研/政策文件/18_中华人民共和国黄河保护法_2022公布.pdf,中华人民共和国黄河保护法_2022公布,2022,central,law,458592,36,29063,1
19,预调研/政策文件/19_中华人民共和国湿地保护法_2021公布.pdf,中华人民共和国湿地保护法_2021公布,2021,central,law,360974,20,14914,1
20,预调研/政策文件/20_中华人民共和国清洁生产促进法_2012修正.pdf,中华人民共和国清洁生产促进法_2012修正,2012,central,law,292518,14,10990,1
21,预调研/政策文件/21_中华人民共和国环境影响评价法_2018修正.pdf,中华人民共和国环境影响评价法_2018修正,2018,central,law,313738,15,12448,1
22,预调研/政策文件/22_中华人民共和国节约能源法_2018修正.pdf,中华人民共和国节约能源法_2018修正,2018,central,law,378969,23,17370,1
23,预调研/政策文件/23_中华人民共和国可再生能源法_2009修正.pdf,中华人民共和国可再生能源法_2009修正,2009,central,law,277672,13,10057,1
24,预调研/政策文件/24_碳排放权交易管理暂行条例_2024公布.pdf,碳排放权交易管理暂行条例_2024公布,2024,central,regulation,191917,11,5890,1
25,预调研/政策文件/25_建设项目环境保护管理条例_2017修订.pdf,建设项目环境保护管理条例_2017修订,2017,central,regulation,125144,5,4474,1
26,预调研/政策文件/26_畜禽规模养殖污染防治条例_2013公布.pdf,畜禽规模养殖污染防治条例_2013公布,2013,central,regulation,147396,5,5135,1
27,预调研/政策文件/27_城镇排水与污水处理条例_2013公布.pdf,城镇排水与污水处理条例_2013公布,2013,central,regulation,294355,20,11313,1
28,预调研/政策文件/28_消耗臭氧层物质管理条例_2023修订.pdf,消耗臭氧层物质管理条例_2023修订,2023,central,regulation,147432,7,7448,1
29,预调研/政策文件/29_打赢蓝天保卫战三年⾏动计划_2018公布.pdf,打赢蓝天保卫战三年⾏动计划_2018公布,2018,central,other,233858,14,16370,1
30,预调研/政策文件/30_关于全⾯加强⽣态环境保护坚决打好污染_2018公布.pdf,关于全⾯加强⽣态环境保护坚决打好污染_2018公布,2018,central,other,275342,11,13367,1
31,预调研/政策文件/31_关于深⼊打好污染防治攻坚战的意⻅_2021公布.pdf,关于深⼊打好污染防治攻坚战的意⻅_2021公布,2021,central,other,444323,17,9841,1
32,预调研/政策文件/32_2030年前碳达峰行动方案_2021公布.pdf,2030年前碳达峰行动方案_2021公布,2021,central,policy_document,1866935,28,14354,1
33,预调研/政策文件/33_中共中央国务院关于完整准确全面贯彻新发展理念做好碳达峰碳中和工作的意见_2021.pdf,中共中央国务院关于完整准确全面贯彻新发展理念做好碳达峰碳中和工作的意见_2021,2021,central,policy_document,1692039,14,7518,1
34,预调研/政策文件/34_⽣态⽂明体制改⾰总体⽅案_2015公布.pdf,⽣态⽂明体制改⾰总体⽅案_2015公布,2015,central,other,177895,11,11857,1
35,预调研/政策文件/35_关于构建现代环境治理体系的指导意⻅_2020公布.pdf,关于构建现代环境治理体系的指导意⻅_2020公布,2020,central,policy_document,134832,6,4401,1
36,预调研/政策文件/36_国务院关于加快经济社会发展全面绿色转型的意见_2024公布.pdf,国务院关于加快经济社会发展全面绿色转型的意见_2024公布,2024,central,policy_document,3784594,14,0,0
37,预调研/政策文件/37_关于推进污水资源化利用的指导意见_2021.pdf,关于推进污水资源化利用的指导意见_2021,2021,central,policy_document,1650373,3,0,0
38,预调研/政策文件/38_空气质量持续改善行动计划_2023公布.pdf,空气质量持续改善行动计划_2023公布,2023,central,policy_document,4579103,14,0,0
39,预调研/政策文件/39_环境影响评价公众参与办法_2018公布.pdf,环境影响评价公众参与办法_2018公布,2018,central,administrative_rule,204286,5,4752,1
40,预调研/政策文件/40_排污许可管理办法_2018公布.pdf,排污许可管理办法_2018公布,2018,central,administrative_rule,1665052,5,7050,1
41,预调研/政策文件/41_生态环境损害赔偿管理规定_2022公布.pdf,生态环境损害赔偿管理规定_2022公布,2022,central,other,252828,13,6448,1
42,预调研/政策文件/42_国家危险废物名录_2024公布.pdf,国家危险废物名录_2024公布,2024,central,technical_or_catalog,261852,1,1273,1
43,预调研/政策文件/43_建设用地土壤污染风险管控和修复监测技术导则_2019公布.pdf,建设用地土壤污染风险管控和修复监测技术导则_2019公布,2019,central,technical_or_catalog,508680,15,14775,1
44,预调研/政策文件/44_碳排放权登记管理规则（试⾏）_2021公布.pdf,碳排放权登记管理规则（试⾏）_2021公布,2021,central,administrative_rule,158035,6,2837,1
45,预调研/政策文件/45_上海市环境保护条例_2022公布.pdf,上海市环境保护条例_2022公布,2022,local,regulation,720984,11,19461,1
46,预调研/政策文件/46_⼴东省环境保护条例_2018修订.pdf,⼴东省环境保护条例_2018修订,2018,local,regulation,1050071,30,17514,1
47,预调研/政策文件/47_河北省大气污染防治条例_2021公布.pdf,河北省大气污染防治条例_2021公布,2021,local,regulation,1499587,17,28434,1
48,预调研/政策文件/48_浙江省生态环境保护条例_2022公布.pdf,浙江省生态环境保护条例_2022公布,2022,local,regulation,291024,6,12342,1
49,预调研/政策文件/49_深圳经济特区生态环境保护条例_2021公布.pdf,深圳经济特区生态环境保护条例_2021公布,2021,local,regulation,673306,10,20779,1
50,预调研/政策文件/50_江苏省生态环境监测条例_2020发布.pdf,江苏省生态环境监测条例_2020发布,2020,local,regulation,284480,6,6187,1
